Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
shuffled/read/Chunk-first,1.8147820444286926e-4,1.8007589120385518e-4,1.8261595077848991e-4,4.024061040215251e-6,3.4993343352097464e-6,4.855300934210383e-6
shuffled/read/Sparse-first,8.808642254415866e-5,8.774914855261685e-5,8.8478739388219e-5,1.2044952137307825e-6,9.442665782390548e-7,1.5404969349616895e-6
shuffled/write/Map-first,4.699963928811449e-4,4.669942564833184e-4,4.7355624247004554e-4,1.082775919952705e-5,9.148520828440027e-6,1.403416217996492e-5
shuffled/write/Cache-first,1.425073754200464e-4,1.4191270380051416e-4,1.433673783179963e-4,2.3683381246851756e-6,1.8734604072731607e-6,3.247472495601586e-6
shuffled/write/Array-first,1.36669398192587e-4,1.3572180385922725e-4,1.3750236322585075e-4,2.9806308207805166e-6,2.5656373924138677e-6,3.6902233843992807e-6
shuffled/write/Chunk-first,2.5335698589501633e-4,2.524307898750141e-4,2.5442542448078414e-4,3.285576785594441e-6,2.7573553334390745e-6,4.069016273459375e-6
shuffled/write/Sparse-first,1.443102136615737e-4,1.4375513309230562e-4,1.4490550805988206e-4,2.0095875764677062e-6,1.7230939884246384e-6,2.477419627815981e-6
shuffled/write-self/Map,1.451939975756636e-3,1.4453435803107831e-3,1.462908955048234e-3,2.6881112279859573e-5,1.4234654767117335e-5,4.232421724822919e-5
shuffled/write-self/Cache,7.503248227321272e-5,7.46583364601278e-5,7.55232624849806e-5,1.3773490977017385e-6,1.06854829143393e-6,2.0280939284700903e-6
shuffled/write-self/Array,9.384538456872927e-5,9.34512932930514e-5,9.437736430367464e-5,1.6146892941310808e-6,1.112308582812913e-6,2.2132828880356667e-6
shuffled/write-self/Chunk,2.4554995102533733e-4,2.4466587882972793e-4,2.471471115271707e-4,4.071391637921443e-6,2.7523348116986587e-6,6.114630284291016e-6
shuffled/write-self/Sparse,8.424238274787931e-5,8.404990122411291e-5,8.45024863010252e-5,7.711307826214282e-7,5.635392559608934e-7,1.1498979157663719e-6
