Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Map/step,1.1460732702941082e-4,1.1402467126076945e-4,1.152550192418651e-4,2.3558040886125064e-6,2.0841224489101604e-6,2.6833331091960355e-6
ArrayMapB/init,7.361969742452688e-5,7.343140371797348e-5,7.388181868459397e-5,8.696985910482711e-7,6.543437950204405e-7,1.1609873026164052e-6
ArrayMapB/step,3.633751682613812e-5,3.500272510240954e-5,3.775374712233296e-5,4.988659087868809e-6,4.326149596029693e-6,5.7047008622588284e-6
ArrayMapU/init,8.629705634519034e-5,8.602611831562029e-5,8.674207797144173e-5,1.2889222345663424e-6,8.67681586458259e-7,2.108561955986091e-6
ArrayMapU/step,1.2451668814844932e-5,1.2428029535656827e-5,1.2486406816381689e-5,1.1056115791985484e-7,8.205181301543124e-8,1.5961036419793446e-7
ChunkStoreB/init,9.352727796256283e-5,9.327087695029052e-5,9.393035185517331e-5,1.2193530200990279e-6,8.771892581886892e-7,1.8450463087735695e-6
ChunkStoreB/step,6.572258362562944e-5,6.439354257653286e-5,6.75195444264414e-5,5.434517908375717e-6,4.542819530710957e-6,6.573433655818561e-6
SparseStoreB/init,1.1080533300370623e-4,1.0997906822710585e-4,1.1175461918426192e-4,3.2895006518676505e-6,2.724850563597475e-6,3.948959687116892e-6
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Map/init,2.5617215623320003e-4,2.5490821116130923e-4,2.579072676022693e-4,5.8218009901186264e-6,4.475265775225516e-6,7.152426533590423e-6
Map/step,1.1964609408080692e-4,1.1904994503431944e-4,1.2040635096580482e-4,2.754844098528144e-6,2.233537434381314e-6,3.3288995028438897e-6
Cache/init,4.93841430407793e-5,4.9269445145691926e-5,4.953527010160821e-5,5.465828250464977e-7,4.343365034905825e-7,7.554131142365241e-7
Cache/step,9.50147342997455e-6,9.464003894093936e-6,9.54781622520427e-6,1.5859404073278415e-7,1.349146705129485e-7,1.895619000878747e-7
ArrayMapB/init,7.430544948404567e-5,7.397333423792503e-5,7.477283670516e-5,1.536240455467383e-6,1.215054050451515e-6,1.934966373497315e-6
ArrayMapB/step,3.861715979635633e-5,3.7340222998691925e-5,3.996254266618068e-5,4.835673532906253e-6,4.140690981305947e-6,5.7075855873144454e-6
ArrayMapU/init,8.681030580203035e-5,8.644994839214268e-5,8.725192249291692e-5,1.5589596478164272e-6,1.3040367281917515e-6,1.955164537127125e-6
ArrayMapU/step,1.2609488794960722e-5,1.2546582494933232e-5,1.2706032517744262e-5,2.91496020121637e-7,2.1191758574894948e-7,4.333168089364425e-7
ChunkStoreB/init,9.538653499696794e-5,9.503587175314654e-5,9.577400980174147e-5,1.4296095895854342e-6,1.2258873166321965e-6,1.7835229198274163e-6
ChunkStoreB/step,6.64078755143754e-5,6.499474284174517e-5,6.804723223145956e-5,5.474037851071053e-6,4.651652056443569e-6,6.432724010507183e-6
SparseStoreB/init,1.1228670430568268e-4,1.1169820166197043e-4,1.1278172690714615e-4,2.142453831411123e-6,1.8197886290040536e-6,2.4752871947930767e-6
SparseStoreB/step,4.0810444608096715e-5,3.915410853988847e-5,4.289517213968025e-5,6.73952255890308e-6,5.679821672772672e-6,9.645361342493906e-6
SparseStoreU/init,1.3695010608639308e-4,1.3649401360344633e-4,1.3774886780537976e-4,2.366387087915082e-6,1.533877146200059e-6,3.958245023850707e-6
SparseStoreU/step,1.499930349437427e-5,1.4965299355877128e-5,1.5037849938701192e-5,1.4461082681595814e-7,1.1300880849140603e-7,1.9349450294209076e-7
